Name,Genre,Artist
Billie Jean,"She was more like a beauty queen from a movie scene\nI said, ""Don't mind, but what do you mean, I am the one\nWho will dance on the floor in the round?""\nShe said I am the one\nWho will dance on the floor in the round\nShe told me her name was Billie Jean as she caused a scene\nThen every head turned with eyes that dreamed of bein' the one\nWho will dance on the floor in the round\nPeople always told me, ""Be careful of what you do\nDon't go around breakin' young girls' hearts"" (hee-hee)\nAnd mother always told me, ""Be careful of who you love\nAnd be careful of what you do (oh-oh)\n'Cause the lie becomes the truth"" (oh-oh), hey-ey\nBillie Jean is not my lover\nShe's just a girl who claims that I am the one (oh, baby)\nBut the kid is not my son (hoo)\nShe says I am the one (oh, baby)\nBut the kid is not my son (hee-hee-hee, no-no, hee-hee-hee, hoo)\nFor forty days and for forty nights, law was on her side\nBut who can stand when she's in demand? Her schemes and plans\n'Cause we danced on the floor in the round (hee)\nSo take my strong advice\nJust remember to always think twice\n(Do think twice) do think twice (ah-hoo)\nShe told my baby we'd danced 'til three, then she looked at me\nThen showed a photo of a baby cryin', his eyes were like mine (oh, no)\nGo and dance on the floor in the round, baby (ooh, hee-hee-hee)\nPeople always told me, ""Be careful of what you do\nAnd don't go around breakin' young girls' hearts"" (don't break no hearts, hee-hee)\nBut she came and stood right by me\nJust the smell of sweet perfume\nThis happened much too soon\nShe called me to her room, hey-ey\nBillie Jean is not my lover (hoo)\nShe's just a girl who claims that I am the one\nBut the kid is not my son\nNo-no-no, no-no, no-no-no (hoo)\nBillie Jean is not my lover\nShe's just a girl who claims that I am the one (oh, baby)\nBut the kid is not my son (no, no)\nShe says I am the one (oh, baby)\nBut the kid is not my son (no, hee-hee-ho, hee-hee-hee)\nHee, hoo\nShe says I am the one\nBut the kid is not my son (no-no-no, hoo, oh)\nBillie Jean is not my lover\nShe's just a girl who claims that I am the one (you know what you did to me, baby)\nBut the kid is not my son\nNo-no-no (no-no-no, ah), no-no-no-no (no-no-no)\nShe says I am the one (no)\nBut the kid is not my son (no-no-no-no)\nShe says I am the one (you know what you did)\nShe says he is my son (breakin' my heart, babe)\nShe says I am the one\nBillie Jean is not my lover\nBillie Jean is not my lover\nBillie Jean is not my lover\nBillie Jean is not my lover (don't call me Billie Jean, hoo)\nBillie Jean is not my lover\nBillie Jean is not- (hee)",
Bohemian Rhapsody,"Is this the real life? Is this just fantasy?\nCaught in a landslide, no escape from reality\nOpen your eyes, look up to the skies and see\nI'm just a poor boy, I need no sympathy\nBecause I'm easy come, easy go\nLittle high, little low\nAny way the wind blows doesn't really matter to me, to me\nMama, just killed a man\nPut a gun against his head, pulled my trigger, now he's dead\nMama, life had just begun\nBut now I've gone and thrown it all away\nMama, ooh, didn't mean to make you cry\nIf I'm not back again this time tomorrow\nCarry on, carry on as if nothing really matters\nToo late, my time has come\nSends shivers down my spine, body's aching all the time\nGoodbye, everybody, I've got to go\nGotta leave you all behind and face the truth\nMama, ooh (any way the wind blows)\nI don't wanna die\nI sometimes wish I'd never been born at all\nI see a little silhouetto of a man\nScaramouche, Scaramouche, will you do the Fandango?\nThunderbolt and lightning, very, very frightening me\n(Galileo) Galileo, (Galileo) Galileo, Galileo Figaro, magnifico\nBut I'm just a poor boy, nobody loves me\nHe's just a poor boy from a poor family\nSpare him his life from this monstrosity\nEasy come, easy go, will you let me go?\nبِسْمِ ٱللَّٰهِ\nNo, we will not let you go (let him go)\nبِسْمِ ٱللَّٰهِ\nWe will not let you go (let him go)\nبِسْمِ ٱللَّٰهِ\nWe will not let you go (let me go)\nWill not let you go (let me go)\nWill not let you go (never, never, never, never let me go)\nNo, no, no, no, no, no, no\nOh, mamma mia, mamma mia\nMamma mia, let me go\nBeelzebub has a devil put aside for me, for me, for me\nSo you think you can stone me and spit in my eye?\nSo you think you can love me and leave me to die?\nOh, baby, can't do this to me, baby\nJust gotta get out, just gotta get right outta here\nOoh\nOoh, yeah, ooh, yeah\nNothing really matters, anyone can see\nNothing really matters\nNothing really matters to me",
Imagine,"Imagine there's no heaven\nIt's easy if you try\nNo hell below us\nAbove us only sky\nImagine all the people\nLiving for today, ah\nImagine there's no countries\nIt isn't hard to do\nNothing to kill or die for\nAnd no religion too\nImagine all the people\nLiving life in peace, you\nYou may say I'm a dreamer\nBut I'm not the only one\nI hope someday you'll join us\nAnd the world will be as one\nImagine no possessions\nI wonder if you can\nNo need for greed or hunger\nA brotherhood of man\nImagine all the people\nSharing all the world, you\nYou may say I'm a dreamer\nBut I'm not the only one\nI hope someday you'll join us\nAnd the world will live as one",
Hey Jude,"Hey Jude, don't make it bad.\nTake a sad song and make it better.\nRemember to let her into your heart,\nThen you can start to make it better.\nHey Jude, don't be afraid.\nYou were made to go out and get her.\nThe minute you let her under your skin,\nThen you begin to make it better.\nAnd anytime you feel the pain, hey Jude, refrain,\nDon't carry the world upon your shoulders.\nFor well you know that it's a fool who plays it cool\nBy making his world a little colder.\nHey Jude, don't let me down.\nYou have found her, now go and get her.\nRemember to let her into your heart,\nThen you can start to make it better.\nSo let it out and let it in, hey Jude, begin,\nYou're waiting for someone to perform with.\nAnd don't you know that it's just you, hey Jude, you'll do,\nThe movement you need is on your shoulder.\nHey Jude, don't make it bad.\nTake a sad song and make it better.\nRemember to let her under your skin,\nThen you'll begin to make it\nBetter better better better better better, oh.\nNa na na nananana, nannana, hey Jude...\n(repeat X number of times, fade)",
Lose Yourself,"[Intro]\nLook, if you had one shot or one opportunity\nTo seize everything you ever wanted in one moment\nWould you capture it or just let it slip?\nYo\n\n[Verse 1]\nHis palms are sweaty, knees weak, arms are heavy\nThere's vomit on his sweater already, mom's spaghetti\nHe's nervous, but on the surface, he looks calm and ready\nTo drop bombs, but he keeps on forgetting\nWhat he wrote down, the whole crowd goes so loud\nHe opens his mouth, but the words won't come out\nHe's chokin', how? Everybody's jokin' now\nThe clock's run out, time's up, over, blaow\nSnap back to reality, ope, there goes gravity\nOpe, there goes Rabbit, he choked, he's so mad\nBut he won't give up that easy, no, he won't have it\nHe knows his whole back's to these ropes, it don't matter\nHe's dope, he knows that, but he's broke, he's so stagnant\nHe knows when he goes back to this mobile home, that's when it's\nBack to the lab again, yo, this old rhapsody\nBetter go capture this moment and hope it don't pass him\n\n[Chorus]\nYou better lose yourself in the music\nThe moment, you own it, you better never let it go (Go)\nYou only get one shot, do not miss your chance to blow\nThis opportunity comes once in a lifetime, yo\nYou better lose yourself in the music\nThe moment, you own it, you better never let it go (Go)\nYou only get one shot, do not miss your chance to blow\nThis opportunity comes once in a lifetime, yo\nYou better\nYou might also like\nFamily Matters\nDrake\nDie With A Smile\nLady Gaga & Bruno Mars\nROSÉ & Bruno Mars - APT. (Romanized)\nGenius Romanizations\n[Verse 2]\nHis soul's escaping through this hole that is gaping\nThis world is mine for the taking, make me king\nAs we move toward a new world order\nA normal life is boring, but superstardom's\nClose to post-mortem, it only grows harder\nHomie grows hotter, he blows, it's all over\nThese hoes is all on him, coast-to-coast shows\nHe's known as the Globetrotter, lonely roads\nGod only knows he's grown farther from home, he's no father\nHe goes home and barely knows his own daughter\nBut hold your nose 'cause here goes the cold water\nThese hoes don't want him no mo', he's cold product\nThey moved on to the next schmoe who flows\nHe nose-dove and sold nada, and so the soap opera\nIs told, it unfolds, I suppose it's old, partner\nBut the beat goes on, da-da-dom, da-dom, dah-dah-dah-dah\n\n[Chorus]\nYou better lose yourself in the music\nThe moment, you own it, you better never let it go (Go)\nYou only get one shot, do not miss your chance to blow\nThis opportunity comes once in a lifetime, yo\nYou better lose yourself in the music\nThe moment, you own it, you better never let it go (Go)\nYou only get one shot, do not miss your chance to blow\nThis opportunity comes once in a lifetime, yo\nYou better\n[Verse 3]\nNo more games, I'ma change what you call rage\nTear this motherfuckin' roof off like two dogs caged\nI was playin' in the beginning, the mood all changed\nI've been chewed up and spit out and booed off stage\nBut I kept rhymin' and stepped right in the next cypher\nBest believe somebody's payin' the Pied Piper\nAll the pain inside amplified by the\nFact that I can't get by with my nine-to-\nFive and I can't provide the right type of life for my family\n'Cause, man, these goddamn food stamps don't buy diapers\nAnd there's no movie, there's no Mekhi Phifer, this is my life\nAnd these times are so hard, and it's gettin' even harder\nTryna feed and water my seed, plus teeter-totter\nCaught up between bein' a father and a prima donna\nBaby-mama drama, screamin' on her, too much for me to wanna\nStay in one spot, another day of monotony's gotten me\nTo the point I'm like a snail, I've got\nTo formulate a plot or end up in jail or shot\nSuccess is my only motherfuckin' option, failure's not\nMom, I love you, but this trailer's got\nTo go, I cannot grow old in Salem's Lot\nSo here I go, it's my shot, feet, fail me not\nThis may be the only opportunity that I got\n\n[Chorus]\nYou better lose yourself in the music\nThe moment, you own it, you better never let it go (Go)\nYou only get one shot, do not miss your chance to blow\nThis opportunity comes once in a lifetime, yo\nYou better lose yourself in the music\nThe moment, you own it, you better never let it go (Go)\nYou only get one shot, do not miss your chance to blow\nThis opportunity comes once in a lifetime, yo\nYou better\n[Outro]\nYou can do anything you set your mind to, man",
Smells Like Teen Spirit,"Load up on guns, bring your friends\nIt's fun to lose and to pretend\nShe's over-bored, and self-assured\nOh no, I know a dirty word\nHello, hello, hello, how low?\nHello, hello, hello, how low?\nHello, hello, hello, how low?\nHello, hello, hello\nWith the lights out, it's less dangerous\nHere we are now, entertain us\nI feel stupid and contagious\nHere we are now, entertain us\nA mulatto, an albino\nA mosquito, my libido, yeah\nHey, yey\nI'm worse at what I do best\nAnd for this gift, I feel blessed\nOur little group has always been\nAnd always will until the end\nHello, hello, hello, how low?\nHello, hello, hello, how low?\nHello, hello, hello, how low?\nHello, hello, hello\nWith the lights out, it's less dangerous\nHere we are now, entertain us\nI feel stupid and contagious\nHere we are now, entertain us\nA mulatto, an albino\nA mosquito, my libido, yeah\nHey, yey\nAnd I forget just why I taste\nOh yeah, I guess it makes me smile\nI found it hard, it's hard to find\nOh well, whatever, never mind\nHello, hello, hello, how low?\nHello, hello, hello, how low?\nHello, hello, hello, how low?\nHello, hello, hello\nWith the lights out, it's less dangerous\nHere we are now, entertain us\nI feel stupid and contagious\nHere we are now, entertain us\nA mulatto, an albino\nA mosquito, my libido\nA denial, a denial\nA denial, a denial\nA denial, a denial\nA denial, a denial\nA denial",
Can't Tell Me Nothing,"La, la, la la (yeah)\nWait 'til I get my money right\nI had a dream I could buy my way to heaven\nWhen I awoke, I spent that on a necklace\nI told God I'd be back in a second\nMan, it's so hard not to act reckless\nTo whom much is given, much is tested\nGet arrested, guess until he get the message\nI feel the pressure, under more scrutiny\nAnd what I do? Act more stupidly\nBought more jewelry, more Louis V\nMy Mama couldn't get through to me\nThe drama, people suing me\nI'm on TV talking like it's just you and me\nI'm just saying how I feel man\nI ain't one of the Cosby's, I ain't go to Hillman\nI guess the money should've changed him\nI guess I should've forgot where I came from\nLa, la, la, la (ayy)\nWait 'til I get my money right\nLa, la, la la (yeah)\nThen you can't tell me nothing, right?\nExcuse me, was you saying something?\nUh-uh, you can't tell me nothing (yeah)\n(Haha) you can't tell me nothing (yeah)\nUh-uh, you can't tell me nothing (yeah)\nLet up the suicide doors\nThis is my life, homie, you decide yours\nI know that Jesus died for us\nBut I couldn't tell ya who decide wars\nSo I parallel double parked that motherf- sideways\nOld folks talking bout back in my day\nBut homie this is my day\nClass started two hours ago, oh, am I late?\nNo, I already graduated\nAnd you can live through anything if Magic made it\nThey say I talk with so much emphasis\nOoh, they so sensitive\nDon't ever fix your lips like collagen\nAnd say something when you gon' end up apologing\nLet me know if it's a problem then\nAight man, holla then\nLa, la, la la (ayy)\nWait 'til I get my money right (yeah)\nLa, la, la la (yeah)\nThen you can't tell me nothing, right?\nExcuse me, was you saying something?\nUh-uh, you can't tell me nothing (yeah)\n(Haha) you can't tell me nothing (yeah)\nUh-uh, you can't tell me nothing (yeah)\nLet the champagne splash\nLet that man get cash\nLet that man get past\nHe don't even stop to get gas\nIf he can move through the rumors\nHe can drive off of fumes 'cause\nHow he move in a room full of no's?\nHow he stay faithful in a room full of h-?\nMust be the pharaohs, he in tune with his soul\nSo when he buried in a tomb full of gold\nTreasure, what's your pleasure?\nLife is a, uh, depending how you dress her\nSo if the Devil wear Prada, Adam Eve wear nada\nI'm in between but way more fresher\nWith way less effort\n'Cause when you try hard that's when you die hard\nYour homies looking like why God\nWhen they reminisce over you, my God\nLa, la, la la\nWait 'til I get my money right\nLa, la, la la\nThen you can't tell me nothing, right?\nExcuse me, was you saying something?\nUh-uh, you can't tell me nothing (yeah)\n(Haha) you can't tell me nothing (yeah)\nUh-uh, you can't tell me nothing (yeah)\nLa, la, la la\nWait 'til I get my money right\nLa, la, la la\nThen you can't tell me nothing, right?\nAyy\nYeah\nHahaha\nYeah (yeah)\nI'm serious, I got money",
